model,rmse,mae,r2,task
Random Forest,0.6636222702289757,0.5095144110275689,0.4142690985532821,regression
Gradient Boosting,0.6854950702286945,0.5281572948432997,0.3750217484728534,regression
Linear Regression,0.724374530893597,0.5611249218572959,0.3021170679288885,regression
