model,accuracy,f1,roc_auc,task
Logistic Regression,0.7349624060150376,0.5284280936454849,0.8164411568767086,classification
Gradient Boosting,0.8374060150375939,0.4401294498381877,0.8450701798718153,classification
Random Forest,0.8439849624060151,0.43537414965986393,0.8785893960625761,classification
